Area,2003/04 (6),2004/05 (6),2005/06 (7),2006/07 ,2007/08 ,2008/09 ,2009/10 ,2010/11 ,2011/12 ,2012/13 ,2013/14 ,2014/15 ,2015/16 ,2016/17 ,2017/18 ,2018/19 ,2019/20 (8)
North Wales total,89118,88391,87130,86018,84172,82428,81641,80729,80280,80091,79924,80110,80397,80910,81392,82088,82364
Isle of Anglesey (2),8779,8643,8437,8205,8000,7815,7802,7621,7541,7519,7483,7517,7566,7661,7738,7810,7862
Gwynedd (2),15476,15339,15256,15098,14784,14460,14272,14102,14042,14005,13800,13742,13705,13747,13885,13986,14035
Conwy (2),14381,14199,13955,13634,13270,12941,12740,12527,12514,12457,12312,12247,12347,12346,12392,12510,12520
Denbighshire (2),13757,13772,13539,13484,13175,12966,12782,12600,12375,12291,12319,12357,12347,12489,12506,12675,12804
Flintshire (2),20668,20404,20024,19774,19405,18962,18875,18697,18504,18477,18454,18553,18631,18748,18869,18964,19045
Wrexham (2),16057,16034,15919,15823,15538,15284,15170,15182,15304,15342,15556,15694,15801,15919,16002,16143,16098
South West and Mid Wales total,113973,112832,111541,109948,108029,106002,104523,103411,102785,102183,101910,101527,101697,102394,103333,103829,104072
Powys (3),17357,17276,17089,16858,16515,16117,15813,15514,15161,15034,14808,14608,14374,14378,14314,14313,14325
Ceredigion (3),8692,8580,8387,8290,8082,7999,7892,7725,7570,7546,7488,7332,7373,7402,7537,7630,7629
Pembrokeshire (3),15861,15772,15600,15340,15113,14787,14528,14352,14271,14056,13989,13805,13728,13709,13894,13870,13931
Carmarthenshire (3),23072,22811,22688,22535,22396,22039,21673,21487,21572,21510,21432,21486,21552,21719,21869,22048,22129
Swansea (3),29906,29554,29217,28827,28282,27838,27698,27428,27437,27474,27597,27663,27877,28243,28577,28704,28622
Neath Port Talbot (3),19085,18839,18560,18098,17641,17222,16919,16905,16774,16563,16596,16633,16793,16943,17142,17264,17436
Central South Wales total,120529,118814,116867,115147,112856,111537,110245,109839,109653,109963,110422,111121,112227,114111,115749,117279,118287
Bridgend (4),18630,18333,18061,17923,17605,17387,17298,17274,17265,17366,17252,17232,17370,17671,17759,18044,18171
Vale of Glamorgan (4),17880,17855,17676,17565,17262,17031,16776,16752,16564,16555,16558,16660,16849,17148,17456,17756,17884
Rhondda Cynon Taf (4),33836,33345,32669,31910,31040,30731,30141,29849,29684,29565,29308,29358,29511,30042,30441,30823,30890
Merthyr Tydfil (4),8334,8145,8000,7779,7570,7422,7266,7174,7117,7070,7143,7135,7088,7132,7214,7288,7319
Cardiff (4),41849,41136,40461,39970,39379,38966,38764,38790,39023,39407,40161,40736,41409,42118,42879,43368,44023
South East Wales total,81189,80041,78759,77186,75417,73847,72673,71753,71047,70667,70405,70242,70642,71234,71971,72698,73089
Caerphilly (5),25803,25336,24949,24530,23955,23467,23218,23000,22715,22644,22571,22446,22522,22719,22733,22815,22694
Blaenau Gwent (5),9711,9566,9410,9143,8849,8525,8312,8039,7956,7786,7720,7597,7551,7477,7531,7607,7674
Torfaen (5),14388,14171,13767,13546,13290,12987,12686,12560,12426,12239,11975,11858,11845,11959,12063,12192,12283
Monmouthshire (5),10874,10775,10628,10307,10062,9848,9661,9507,9392,9277,9189,9289,9330,9358,9431,9366,9361
Newport (5),20413,20193,20005,19660,19261,19020,18796,18647,18558,18721,18950,19052,19394,19721,20213,20718,21077
Wales total,404809,400078,394297,388299,380474,373814,369082,365732,363765,362904,362661,363000,364963,368649,372445,375894,377812
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
