Area,2003/04 (6),2004/05 (6),2005/06 (7),2006/07 ,2007/08 ,2008/09 ,2009/10 ,2010/11 ,2011/12 ,2012/13 ,2013/14 ,2014/15 ,2015/16 ,2016/17 ,2017/18 ,2018/19 ,2019/20 (8)
North Wales total,13244,12570,12002,11761,11381,12165,13181,13685,13438,13360,13146,12937,12803,12534,12554,13618,14968
Isle of Anglesey (2),1741,1607,1461,1349,1287,1387,1408,1429,1355,1539,1387,1308,1287,1218,1188,1212,1360
Gwynedd (2),2162,1998,2030,1945,1857,1817,1884,2009,1911,1917,1777,1821,1779,1708,1695,1683,1790
Conwy (2),2300,2162,2035,2027,1939,2074,2303,2251,2229,2279,2226,2095,1998,2075,1970,2143,2125
Denbighshire (2),1979,1780,1794,1856,1936,2072,2278,2385,2317,2343,2387,2342,2360,2256,2200,2450,2772
Flintshire (2),2620,2547,2368,2269,2087,2171,2419,2747,2781,2501,2566,2758,2792,2589,2850,3221,3704
Wrexham (2),2442,2476,2314,2315,2275,2644,2889,2864,2845,2781,2803,2613,2587,2688,2651,2909,3217
South West and Mid Wales total,20647,19718,18374,18133,17287,17254,18152,18987,18340,18077,17811,17808,17619,17632,17377,18515,19708
Powys (3),1754,1725,1633,1640,1574,1585,1719,1702,1685,1594,1604,1593,1540,1594,1597,1601,1921
Ceredigion (3),1104,993,959,959,946,975,978,1018,934,913,882,875,834,818,861,851,1055
Pembrokeshire (3),2582,2449,2354,2221,2141,2074,2464,2578,2494,2586,2507,2244,2215,2357,2155,2226,2251
Carmarthenshire (3),3918,3687,3450,3610,3536,3504,3505,3756,3516,3444,3519,3688,3720,3546,3472,3650,4064
Swansea (3),6879,6713,6009,5888,5518,5412,5640,5935,5760,5694,5494,5467,5376,5482,5507,6086,6222
Neath Port Talbot (3),4410,4151,3969,3815,3572,3704,3846,3998,3951,3846,3805,3941,3934,3835,3785,4101,4195
Central South Wales total,26366,25156,23364,23169,22151,22765,23596,24212,23054,23906,23622,23028,22421,22317,21739,22560,25203
Bridgend (4),3620,3494,3278,3213,3157,3240,3483,3458,3525,3653,3562,3447,3251,3128,3192,3390,3758
Vale of Glamorgan (4),2163,2121,2110,2175,2056,2155,2348,2386,2264,2404,2387,2252,2222,2197,2141,2169,2441
Rhondda Cynon Taf (4),8407,8092,7285,7250,6632,7043,7236,7517,7264,7205,6926,6605,6383,6398,6295,6294,7077
Merthyr Tydfil (4),2419,2349,2104,2055,1859,1847,1870,1800,1766,1689,1755,1669,1558,1489,1453,1494,1507
Cardiff (4),9757,9100,8587,8476,8447,8480,8659,9051,8235,8955,8992,9055,9007,9105,8658,9213,10420
South East Wales total,16816,16143,15174,14496,13785,14311,14862,15189,15433,15550,14839,14615,14197,13206,13212,13981,15278
Caerphilly (5),5560,5243,5130,4991,4764,4908,5181,5520,5731,5529,5081,5222,5126,4764,4618,4492,4909
Blaenau Gwent (5),2439,2460,2288,2230,1957,2278,2457,2339,2313,2323,2326,2222,2095,1702,1707,1729,1957
Torfaen (5),2949,2710,2431,2418,2358,2229,2176,2288,2414,2374,2297,2234,2158,2093,2265,2682,3072
Monmouthshire (5),1191,1136,1087,1072,1040,964,1076,1125,1118,1141,1105,1058,1068,979,1030,1055,1222
Newport (5),4677,4594,4238,3785,3666,3932,3972,3917,3857,4183,4030,3879,3750,3668,3592,4023,4118
Wales total,77073,73587,68914,67559,64604,66495,69791,72073,70265,70893,69418,68388,67040,65689,64882,68674,75157
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
